id,timeStamp,location,followers,friends,ntweets
14673,523,885,67,329,154
38162,551,835,53,31,330
39489,576,0,12644,1750,3835
39070,370,841,84,550,230
38372,323,0,376,245,8569
38742,588,558,246,328,9588
38895,473,644,738,556,3077
38836,502,889,545,1997,5718
37936,489,1052,273947,429,9318
38496,328,0,387,479,4046
38678,15,167,64,178,2068
38161,527,131,8077,8720,10147
39178,411,487,940,1787,3009
38113,398,778,39,90,380
38367,591,0,8064,5906,3697
38371,14,143,106,201,163
38305,297,29,752,1934,5308
39488,545,446,3659,4017,27535
39023,17,566,26,38,514
38333,3,218,59,145,75
39440,10,21,1864,335,1922
39766,10,213,362,73,177
38893,281,776,316,359,1682
37772,18,963,423,156,30
39531,272,480,443,1792,1813
39200,12,229,91,733,372
39659,0,492,338,433,449
39021,263,35,349,256,20669
39019,378,1061,108,371,740
39305,18,737,245,772,8740
38067,413,0,63804,264,8674
38421,1,172,13111,14828,4341
38370,252,813,229,430,941
39191,3,0,114,305,3720
38642,406,794,93,455,360
38445,4,755,225,935,268
39018,581,78,3345,813,5124
39180,404,751,289,729,2279
38147,385,0,148,328,2381
37913,474,353,84433,323,18073
38146,415,1120,2905,117,4535
37725,18,1097,152,43,96
37790,460,181,276867,922,21796
39657,409,487,1409,358,12998
38198,13,1039,174,203,7452
39105,326,488,9039,7831,19911
37937,259,0,364861,352,8064
38624,5,0,10,18,20
39198,296,0,23,90,29
39487,346,361,111,213,1941
39656,5,0,13,50,8
38078,387,985,3011316,1208,24513
39197,490,414,115,866,1382
39163,302,0,388,260,8116
39258,19,717,259,170,5063
38855,444,85,237,688,314
39016,10,394,184,256,3752
38145,554,483,164,529,244
38144,7,551,297,117,550
38833,12,1128,121,176,4702
38891,435,66,242,1276,3832
39047,282,1035,374,320,6671
38890,348,950,1841,1834,1127
38366,495,225,37211,468,4625
38728,359,923,280,238,24494
38143,259,1049,159,385,515
39629,270,487,1195,1438,10186
38889,280,772,76,536,137
38142,545,0,315,284,2527
4526,444,0,2940,3235,6690
39104,7,444,96,376,15
38518,2,938,135,430,54
39439,421,501,367,519,3093
37715,470,782,512,91,547
38787,6,443,55,810,149
38887,1,487,22,30,122
38675,433,762,202,485,376
39015,9,770,14,35,9
38364,9,0,137,287,343
39832,0,444,108,139,3316
37851,271,476,6618,685,34
39013,329,498,575,352,43830
39344,478,602,16389,14932,13097
39465,328,549,187,224,3739
39304,357,1069,315,457,534
39438,553,530,291,275,9658
39303,286,907,28,84,2
39571,379,449,721,1416,6915
37850,340,674,26738,35,736
39472,253,152,348,239,12101
39712,446,358,220,691,556
39486,13,0,935,834,2108
38140,449,0,625,1999,54351
37731,441,1098,756,185,1916
38824,20,563,148,413,912
39792,527,0,492,356,41046
38505,410,73,260,717,963
38575,6,0,153,1223,57
39654,469,0,190,171,1581
39841,563,608,855,264,22350
39230,8,82,158,638,1112
4170,489,0,117,194,6078
37877,334,618,2212,723,6513
39830,385,292,469,1958,24430
38310,0,915,47732,1959,8213
38139,430,595,1440,842,86314
39051,502,0,80,324,6305
37854,292,13,838278,36,993
39653,374,614,44,103,391
39167,8,774,253,113,44
38632,470,774,724,235,4526
39011,562,428,568,406,8047
39711,5,0,67,71,50
37833,355,413,310,193,269
39188,414,499,182,173,16241
38232,354,1054,209,184,3594
37714,469,776,494,4,198
39069,428,870,666,1119,762
38420,472,929,1420,483,20139
39010,365,76,7396,503,1748
39302,447,232,406,275,13698
37712,530,150,216,131,40
38758,266,936,190,201,6261
37981,261,0,619191,186,6611
39449,533,784,692,190,8721
38574,14,542,612,1890,32
39485,557,0,51373,35919,22802
38064,290,607,449774,240,9201
38258,393,543,385,391,2364
39301,260,0,230,266,10335
39184,596,306,280,1029,272
38674,461,537,542,1995,1015
